"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"175","Chauncey Gardner-Johnson","DB","PHI",5.8,1.16,0.0527,5.17,7.16,-0.366,-0.258,-0.315,167,152,153,19,"2",NA,NA,54
"176","Danielle Hunter","DL","HOU",2.81,0.874,0.00541,2.3,3.84,-0.372,-0.499,-0.308,168,179,152,24,"4",NA,NA,66
"177","Jaylen Waddle","WR","MIA",10.4,1.23,0.0134,8.8,12.4,-0.374,-0.438,0.116,169,170,120,39,"8",NA,NA,45
"178","Calais Campbell","DL","MIA",2.81,1.15,0.00872,2.02,3.61,-0.377,-0.783,-0.542,170,224,185,25,"4",NA,NA,87
"179","Byron Young","DL","LAR",2.8,NA,0.0283,NA,NA,-0.386,NA,NA,171,NA,NA,26,"5",NA,NA,NA
"180","Tre Tucker","WR","LVR",10.4,2.59,0.017,9,15.7,-0.387,-0.23,3.47,172,147,46,40,"8",NA,NA,96
"181","Jets","DST","NYJ",5.07,0.218,0.0623,4.81,5.33,-0.391,0,-1.36,173,130,294,7,"6",NA,NA,1
"182","Tutu Atwell","WR","LAR",10.4,0.676,0.00423,9.45,11.5,-0.404,0.221,-0.748,174,111,214,41,"8",NA,NA,11
"183","Demario Douglas","WR","NE",10.4,0.922,0.145,9,11.7,-0.408,-0.232,-0.526,175,150,183,42,"8",NA,NA,23
"184","Justin Madubuike","DL","BAL",2.77,1.53,0.000853,1.73,3.83,-0.414,-1.08,-0.32,176,281,154,27,"5",NA,NA,96
"185","B.J. Hill","DL","CIN",2.77,0.643,0.0373,2.23,3.45,-0.415,-0.578,-0.698,177,186,208,28,"5",NA,NA,43
"186","Jordan Poyer","DB","MIA",5.74,1.53,0.0577,4.63,7.51,-0.419,-0.8,0.0319,178,227,127,20,"2",NA,NA,90
"187","Bobby Okereke","LB","NYG",6.56,1.86,0.027,5.41,8.75,-0.424,-0.231,-0.596,179,149,195,13,"1",NA,NA,43
"188","Germaine Pratt","LB","CIN",6.53,1.55,0.0642,5.65,8.36,-0.451,0,-0.987,180,130,256,14,"1",NA,NA,16
"189","Gregory Rousseau","DL","BUF",2.73,0.644,0.0112,2.22,3.44,-0.452,-0.589,-0.711,181,188,211,29,"5",NA,NA,45
"190","Falcons","DST","ATL",5.01,0.62,0.0672,4.32,5.99,-0.453,-0.488,-0.706,182,177,209,8,"7",NA,NA,48
"191","Cameron Dicker","K","LAC",8.24,1.11,0.128,6.52,9.4,-0.46,-0.973,-0.16,183,252,141,10,"2",NA,NA,59
"192","T'Vondre Sweat","DL","TEN",2.72,1.54,0.0223,1.44,4.46,-0.464,-1.37,0.306,184,334,106,30,"5",NA,NA,98
